"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\TriggeredWorkflow\AddSimpleWorkflow\CreateWorkflowActions\CreateWorkflowActions.js", "JavaScript", 208, 0, 1, 39, 248
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\TriggeredWorkflow\AddSimpleWorkflow\WorkflowCondition\WorkflowCondition old.js", "JavaScript", 200, 0, 1, 22, 223
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\TriggeredWorkflow\AddSimpleWorkflow\WorkflowCondition\WorkflowCondition.js", "JavaScript", 298, 0, 1, 36, 335
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\TriggeredWorkflow\TriggeredWorkflow.js", "JavaScript", 127, 0, 0, 25, 152
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\Workflow copy.js", "JavaScript", 63, 0, 3, 11, 77
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\Workflow.js", "JavaScript", 36, 0, 14, 6, 56
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workflow\initial-elements.js", "JavaScript", 19, 0, 0, 1, 20
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workspace\WorkspaceConfig.js", "JavaScript", 112, 0, 0, 20, 132
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Configuration\Workspace\WorkspaceOverview\WorkspaceOverview.js", "JavaScript", 116, 0, 0, 22, 138
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\Home.js", "JavaScript", 13, 0, 0, 3, 16
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\BooleanInputEditor.js", "JavaScript", 20, 0, 0, 3, 23
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\DataGridTable.js", "JavaScript", 316, 0, 0, 43, 359
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\DatePicker.js", "JavaScript", 40, 0, 0, 4, 44
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\DateTimePicker.js", "JavaScript", 39, 0, 0, 6, 45
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\NumberInputEditor.js", "JavaScript", 28, 0, 0, 5, 33
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\ReferencedRowSelection.js", "JavaScript", 156, 0, 0, 24, 180
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\highlight.css", "CSS", 0, 25, 8, 2, 35
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\DataGrid\react-contextmenu.css", "CSS", 0, 71, 0, 12, 83
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\SavageTable.js", "JavaScript", 126, 0, 0, 27, 153
"c:\Users\vincent\git\savagerow\src\main\resources\web\src\Views\SavageTable\TableLayout.js", "JavaScript", 173, 0, 0, 24, 197
"Total", "-", 5015, 96, 38, 828, 5977
